"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"248163_at";3263;0.4576;"0.0757";"0,0004";NA;NA;NA;0.1371;0.0078;"0";0.1497;"0";"0"
"248178_at";3278;0.4116;"0.049";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248190_at";3290;0.3805;"0.0391";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248208_at";3308;0.5113;"0.0981";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248252_at";3352;0.2804;"0.0054";"0";NA;NA;NA;NA;NA;NA;2.4384;"0,0001";"0"
"248263_at";3363;NA;NA;NA;0.3094;0.0645;"0,0001";NA;NA;NA;0.5457;"0.0104";"0,0003"
"248270_at";3370;3.2323;"0.0308";"0,0001";NA;NA;NA;NA;NA;NA;0.6649;"0.0386";"0.0017"
"248327_at";3427;2.7583;"0.0403";"0,0001";NA;NA;NA;NA;NA;NA;0.5795;"0.0393";"0.0017"
"248377_at";3477;0.31;"0.0125";"0";NA;NA;NA;NA;NA;NA;1.4513;"0.041";"0,0009"
"248460_at";3560;2.4038;"0.0553";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248509_at";3609;NA;NA;NA;NA;NA;NA;0.0882;0.004;"0";0.4129;"0.0022";"0"
"248569_at";3669;NA;NA;NA;6.6595;0.0118;"0";11.5254;0.0025;"0";4.4662;"0";"0"
"248628_at";3728;2.5203;"0.0545";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248700_at";3800;NA;NA;NA;0.3047;0.0526;"0";NA;NA;NA;NA;NA;NA
"248719_at";3819;2.5236;"0.0457";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248727_at";3827;0.2478;"0.0056";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248763_at";3863;NA;NA;NA;2.8172;0.0525;"0,0001";NA;NA;NA;2.8598;"0,0002";"0"
"248790_at";3890;0.3765;"0.0388";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248794_at";3894;2.773;"0.0406";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248801_at";3901;NA;NA;NA;7.5346;0.0081;"0";NA;NA;NA;1.8826;"0.0013";"0"
"248844_s_at";3944;0.1538;"0.0025";"0";NA;NA;NA;10.5808;0.002;"0";NA;NA;NA
"248862_at";3962;3.9338;"0.0176";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248863_at";3963;2.285;"0.0592";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248864_at";3964;2.8988;"0.0364";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248868_at";3968;4.5364;"0.0117";"0";NA;NA;NA;NA;NA;NA;0.7407;"0.0927";"0.0051"
"248895_at";3995;0.4121;"0.0526";"0,0002";NA;NA;NA;0.2752;0.0927;"0,0003";0.6306;"0.0266";"0.001"
