"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"265740_at";20840;NA;NA;NA;0.3322;0.0895;"0,0001";NA;NA;NA;NA;NA;NA
"265892_at";20992;0.4628;"0.077";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265920_s_at";21020;3.1584;"0.0323";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266066_at";21166;0.4034;"0.0457";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266078_at";21178;0.3423;"0.0245";"0";NA;NA;NA;NA;NA;NA;0.5875;"0.0227";"0,0008"
"266119_at";21219;NA;NA;NA;0.2257;0.0454;"0";0.2788;0.0825;"0,0002";NA;NA;NA
"266150_s_at";21250;NA;NA;NA;0.1889;0.01;"0";0.1268;0.0069;"0";0.7028;"0.0927";"0.0051"
"266173_at";21273;0.236;"0.0048";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266191_at";21291;0.3907;"0.0447";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266204_at";21304;0.4104;"0.0536";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266216_at";21316;NA;NA;NA;NA;NA;NA;3.0251;0.0628;"0,0001";3.3414;"0";"0"
"266330_at";21430;0.4601;"0.0758";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266372_at";21472;0.4583;"0.0762";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266403_at";21503;0.4137;"0.0558";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266643_s_at";21743;0.3753;"0.04";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266658_at";21758;2.0643;"0.0902";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266669_at";21769;0.444;"0.0662";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"266778_at";21878;NA;NA;NA;NA;NA;NA;0.1632;0.0165;"0";NA;NA;NA
"266799_at";21899;0.3959;"0.0473";"0,0002";0.3123;0.0935;"0,0001";NA;NA;NA;0.4107;"0.0022";"0"
"266901_at";22001;2.5161;"0.0466";"0,0002";NA;NA;NA;NA;NA;NA;2.4132;"0,0001";"0"
"267076_at";22176;NA;NA;NA;NA;NA;NA;0.295;0.0974;"0,0003";0.2878;"0,0002";"0"
"267083_at";22183;2.4323;"0.0515";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"267158_at";22258;NA;NA;NA;NA;NA;NA;0.2837;0.0929;"0,0003";0.3472;"0,0006";"0"
"267337_at";22437;NA;NA;NA;0.3417;0.0875;"0,0001";0.1014;0.0038;"0";0.23;"0";"0"
"267339_at";22439;1.9783;"0.0915";"0,0006";NA;NA;NA;NA;NA;NA;1.8147;"0.0018";"0"
"267388_at";22488;NA;NA;NA;NA;NA;NA;3.2786;0.0405;"0,0001";2.9428;"0";"0"
"267411_at";22511;3.8288;"0.018";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"267425_at";22525;4.1539;"0.0129";"0";NA;NA;NA;NA;NA;NA;0.4473;"0.0034";"0,0001"
"267457_at";22557;0.1287;"0.002";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"267535_at";22635;2.0412;"0.0831";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"267580_at";22680;NA;NA;NA;3.1185;0.0404;"0,0001";NA;NA;NA;NA;NA;NA
"267590_at";22690;NA;NA;NA;NA;NA;NA;0.2053;0.0374;"0,0001";0.4476;"0.0043";"0,0001"
"267612_at";22712;NA;NA;NA;NA;NA;NA;0.286;0.093;"0,0003";0.3098;"0,0003";"0"
"244932_at";32;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6956;"0.0549";"0.0026"
"244991_s_at";91;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4325;"0.0628";"0.0018"
"245040_at";140;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3819;"0.062";"0.0018"
"245052_at";152;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.4199;"0,0001";"0"
"245059_at";159;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3574;"0.069";"0.0021"
"245075_at";175;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5094;"0.008";"0,0002"
"245076_at";176;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.437;"0.0032";"0,0001"
"245087_at";187;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6475;"0.0333";"0.0014"
"245088_at";188;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5464;"0.0111";"0,0003"
"245090_at";190;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6512;"0.0339";"0.0014"
"245093_at";193;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4288;"0.0489";"0.0012"
"245097_at";197;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3551;"0.0854";"0.003"
"245108_at";208;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2669;"0,0002";"0"
"245113_at";213;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1904;"0";"0"
"245130_at";230;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.344;"0,0005";"0"
"245132_at";232;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4291;"0.0501";"0.0012"
"245143_at";243;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.566;"0.0131";"0,0004"
"245152_at";252;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3351;"0.0975";"0.0037"
"245158_at";258;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4438;"0.0036";"0,0001"
"245186_at";286;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4648;"0.0044";"0,0001"
"245191_at";291;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3443;"0.0802";"0.0027"
"245193_at";293;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2603;"0,0001";"0"
"245208_at";308;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4868;"0.0057";"0,0001"
"245209_at";309;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3755;"0.0642";"0.0018"
"245215_at";315;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7201;"0.0707";"0.0036"
"245229_at";329;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7288;"0.0774";"0.004"
"245236_at";336;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5303;"0.0351";"0,0007"
"245251_at";351;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5969;"0.0185";"0,0006"
"245254_at";354;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4387;"0.0391";"0,0008"
"245276_at";376;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4511;"0.0042";"0,0001"
"245277_at";377;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5829;"0.0196";"0,0007"
"245290_at";390;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7102;"0.0687";"0.0035"
"245302_at";402;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3557;"0,0007";"0"
"245317_at";417;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5074;"0.0076";"0,0002"
"245319_at";419;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6191;"0.0235";"0,0008"
"245329_at";429;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5007;"0.0103";"0,0003"
"245336_at";436;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6787;"0.0057";"0,0001"
"245338_at";438;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7409;"0.0941";"0.0052"
"245341_at";441;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2386;"0,0001";"0"
"245347_at";447;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3279;"0.09";"0.0032"
"245385_at";485;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5004;"0.0062";"0,0001"
"245393_at";493;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5531;"0.0124";"0,0004"
"245397_at";497;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6785;"0.0617";"0.003"
"245405_at";505;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3355;"0.0924";"0.0034"
"245463_at";563;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1119;"0";"0"
"245486_x_at";586;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6698;"0.0471";"0.0021"
"245489_at";589;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7566;"0.0044";"0"
"245495_at";595;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.0776;"0,0003";"0"
"245531_at";631;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6859;"0.0715";"0.0037"
"245558_at";658;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1102;"0,0003";"0"
"245662_at";762;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5397;"0.0106";"0,0003"
"245677_at";777;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8536;"0,0001";"0"
"245726_at";826;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6648;"0.0428";"0.0019"
"245734_at";834;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6043;"0.0205";"0,0007"
"245742_at";842;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5647;"0.0124";"0,0002"
"245758_at";858;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4977;"0.0062";"0,0001"
"245765_at";865;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6244;"0.0308";"0.0012"
"245784_at";884;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6255;"0.0453";"0.002"
"245792_at";892;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6905;"0.0517";"0.0024"
"245794_at";894;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6998;"0.0573";"0.0028"
"245800_at";900;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5245;"0.0089";"0,0002"
"245821_at";921;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5404;"0.0101";"0,0003"
"245861_at";961;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3227;"0,0003";"0"
"245884_at";984;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4022;"0.0637";"0.0018"
"245901_at";1001;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5324;"0.01";"0,0003"
"245905_at";1005;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7278;"0.0907";"0.005"
"245925_at";1025;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8208;"0.0018";"0"
"245947_at";1047;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4005;"0.0019";"0"
"245965_at";1065;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3666;"0.0012";"0"
"245974_at";1074;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6006;"0.0147";"0,0002"
"245976_at";1076;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3313;"0,0004";"0"
"245993_at";1093;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5891;"0.019";"0,0006"
"246000_at";1100;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1846;"0";"0"
"246004_at";1104;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3968;"0.0017";"0"
"246021_at";1121;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5304;"0.0095";"0,0002"
"246027_at";1127;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4141;"0.058";"0.0016"
"246043_at";1143;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5281;"0.019";"0,0003"
"246090_at";1190;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3565;"0.0746";"0.0024"
"246108_at";1208;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.0127;"0.0016";"0"
"246110_at";1210;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3467;"0.0803";"0.0027"
"246133_at";1233;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5426;"0.0111";"0,0003"
"246134_at";1234;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4188;"0.0501";"0.0013"
"246137_at";1237;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8572;"0.0015";"0"
"246144_at";1244;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5894;"0.0184";"0,0006"
"246148_at";1248;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3551;"0.0859";"0.003"
"246155_at";1255;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3998;"0.0503";"0.0013"
"246159_at";1259;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5109;"0.0193";"0,0003"
"246161_at";1261;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3499;"0.0734";"0.0023"
"246184_at";1284;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6622;"0.0448";"0.002"
"246201_at";1301;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3772;"0.0621";"0.0018"
"246205_at";1305;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5816;"0.0151";"0,0005"
"246211_at";1311;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3181;"0.0933";"0.0034"
"246212_at";1312;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.729;"0.0915";"0.005"
"246213_at";1313;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7097;"0.0768";"0.004"
"246231_at";1331;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.555;"0.0127";"0,0004"
"246236_at";1336;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5803;"0.0151";"0,0005"
"246244_at";1344;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4983;"0.0062";"0,0001"
"246247_at";1347;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4701;"0.005";"0,0001"
"246250_at";1350;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7021;"0.0975";"0.0055"
"246274_at";1374;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6029;"0.0251";"0,0009"
"246275_at";1375;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3592;"0,0008";"0"
"246283_at";1383;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5414;"0.0161";"0,0002"
"246310_at";1410;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1506;"0";"0"
"246331_at";1431;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8773;"0.0025";"0"
"246346_at";1446;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5657;"0.0158";"0,0005"
"246376_at";1476;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6572;"0.0338";"0.0014"
"246383_at";1483;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3923;"0.0736";"0.0023"
"246401_at";1501;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3316;"0,0004";"0"
"246420_at";1520;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3891;"0.0636";"0.0018"
"246432_at";1532;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4449;"0.0427";"0.001"
"246449_at";1549;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6202;"0.0079";"0,0001"
"246450_at";1550;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4152;"0.0531";"0.0014"
"246463_at";1563;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.0317;"0,0008";"0"
"246466_at";1566;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4783;"0.028";"0,0005"
"246483_at";1583;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3622;"0.001";"0"
"246485_at";1585;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4623;"0.0051";"0,0001"
"246493_at";1593;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3409;"0.0834";"0.0029"
"246496_at";1596;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3742;"0.0975";"0.0037"
"246516_at";1616;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5047;"0.0069";"0,0002"
"246519_at";1619;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5351;"0.01";"0,0003"
"246522_at";1622;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3693;"0.0011";"0"
"246525_at";1625;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.641;"0.0108";"0,0001"
"246526_at";1626;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4266;"0.0034";"0,0001"
"246562_at";1662;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4473;"0.0036";"0,0001"
"246566_at";1666;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1392;"0";"0"
"246568_at";1668;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.454;"0.0416";"0,0009"
"246585_at";1685;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4237;"0.0029";"0"
"246596_at";1696;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5496;"0.0219";"0,0008"
"246622_at";1722;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6969;"0.0631";"0.0031"
"246700_at";1800;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0861;"0";"0"
"246755_at";1855;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3584;"0.0736";"0.0023"
"246777_at";1877;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5802;"0.0161";"0,0005"
"246779_at";1879;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.517;"0.0281";"0,0005"
"246802_at";1902;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.564;"0.0174";"0,0006"
"246815_at";1915;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5835;"0.018";"0,0006"
"246827_at";1927;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6114;"0.0295";"0.0012"
"246842_at";1942;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.72;"0.08";"0.0042"
"246855_at";1955;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4525;"0.0362";"0,0007"
"246861_at";1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3065;"0,0003";"0"
"246891_at";1991;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.231;"0";"0"
"246902_at";2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3553;"0.0755";"0.0024"
"246911_at";2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4073;"0.0021";"0"
"246917_at";2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6868;"0.0581";"0.0028"
"246919_at";2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.359;"0,0008";"0"
"246930_at";2030;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4287;"0.0026";"0"
"246933_at";2033;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3424;"0,0006";"0"
"246962_s_at";2062;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4951;"0.0217";"0,0003"
"246983_at";2083;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5549;"0.0181";"0,0006"
"246986_at";2086;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4711;"0.0045";"0,0001"
"246990_at";2090;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4717;"0.0046";"0,0001"
"246998_at";2098;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7119;"0.0851";"0.0046"
"247013_at";2113;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4141;"0.0474";"0.0012"
"247023_at";2123;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1064;"0";"0"
"247038_at";2138;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.681;"0.0626";"0.0031"
"247044_at";2144;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5202;"0.0189";"0,0003"
"247049_at";2149;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4128;"0.0464";"0.0011"
"247063_at";2163;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3702;"0.0745";"0.0024"
"247066_at";2166;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5275;"0.0117";"0,0003"
"247069_at";2169;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7208;"0.082";"0.0044"
"247081_at";2181;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7127;"0.0049";"0"
"247085_at";2185;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.642;"0.0449";"0.002"
"247086_at";2186;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7081;"0.0633";"0.0032"
"247087_at";2187;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1027;"0,0006";"0"
"247116_at";2216;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7087;"0.07";"0.0036"
"247118_at";2218;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6597;"0.0609";"0.003"
"247128_at";2228;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4765;"0.0291";"0,0005"
"247142_at";2242;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4114;"0.0637";"0.0018"
"247145_at";2245;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3342;"0,0005";"0"
"247146_at";2246;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6606;"0.0451";"0.002"
"247151_at";2251;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.294;"0,0002";"0"
"247154_at";2254;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.699;"0.092";"0.0051"
"247162_at";2262;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5275;"0.0183";"0,0003"
"247166_at";2266;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3331;"0.0853";"0.003"
"247169_at";2269;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6852;"0.0057";"0,0001"
"247175_at";2275;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5023;"0.0062";"0,0001"
"247189_at";2289;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3394;"0,0001";"0"
"247196_at";2296;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2168;"0";"0"
"247199_at";2299;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5372;"0.01";"0,0003"
"247211_at";2311;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4954;"0.0265";"0,0005"
"247219_at";2319;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3814;"0.0586";"0.0016"
"247240_at";2340;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6745;"0.0522";"0.0025"
"247246_at";2346;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6063;"0.0205";"0,0007"
"247251_at";2351;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6994;"0.0565";"0.0027"
"247264_at";2364;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5545;"0.021";"0,0007"
"247265_at";2365;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7025;"0.0773";"0.004"
"247286_at";2386;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4671;"0.0284";"0,0005"
"247305_at";2405;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3983;"0.0656";"0.0019"
"247312_at";2412;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4777;"0.028";"0,0005"
"247319_at";2419;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7703;"0.0034";"0"
"247326_at";2426;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6846;"0.0485";"0.0022"
"247339_at";2439;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4692;"0.0313";"0,0006"
"247348_at";2448;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6413;"0.031";"0.0012"
"247353_at";2453;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4079;"0.0462";"0.0011"
"247357_at";2457;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3056;"0,0003";"0"
"247377_at";2477;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4958;"0.0062";"0,0001"
"247394_at";2494;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5295;"0.0211";"0,0003"
"247399_at";2499;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5456;"0.0109";"0,0003"
"247406_at";2506;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.0077;"0";"0"
"247412_at";2512;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4537;"0.0352";"0,0007"
"247433_at";2533;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5222;"0.0172";"0,0002"
"247436_at";2536;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8019;"0.0018";"0"
"247440_at";2540;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6937;"0.0517";"0.0024"
"247461_at";2561;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6353;"0.0301";"0.0012"
"247471_at";2571;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.589;"0.0184";"0,0006"
"247514_at";2614;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4441;"0.0373";"0,0008"
"247518_at";2618;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3569;"0.0714";"0.0022"
"247529_at";2629;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6964;"0.0854";"0.0046"
"247541_at";2641;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.649;"0.0328";"0.0013"
"247543_at";2643;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5452;"0.0165";"0,0002"
"247573_at";2673;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3878;"0.0016";"0"
"247585_at";2685;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3897;"0.0016";"0"
"247589_at";2689;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5769;"0.0146";"0,0004"
"247605_at";2705;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5161;"0.0075";"0,0002"
"247626_at";2726;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3398;"0.0922";"0.0033"
"247643_at";2743;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7382;"0.095";"0.0053"
"247655_at";2755;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4684;"0.067";"0.002"
"247657_at";2757;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4545;"0.004";"0,0001"
"247671_at";2771;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.694;"0.0532";"0.0025"
"247679_at";2779;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.578;"0.0151";"0,0005"
"247694_at";2794;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6107;"0.027";"0,0005"
"247696_at";2796;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6567;"0.0459";"0.0021"
"247719_at";2819;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5906;"0.0231";"0,0008"
"247734_at";2834;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6024;"0.0131";"0,0002"
"247743_at";2843;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6749;"0.0511";"0.0024"
"247745_at";2845;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3911;"0.0573";"0.0015"
"247793_at";2893;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3686;"0.0754";"0.0024"
