"ath1_probe";"probe_target_number";"FC_35LFY_vs_LER";"pfp_35LFY_vs_LER_down";"P.value_35LFY_vs_LER_down";"pfp_35LFY_vs_LER_up";"P.value_35LFY_vs_LER_up"
"259460_at";"14560";"0.7877";"0.5727";"0.0347";"1.0392";"0.9875"
"259461_at";"14561";"1.0115";"1.0322";"0.8448";"1.1848";"0.3268"
"259462_at";"14562";"1.0334";"1.0466";"0.8663";"1.0932";"0.2652"
"259463_at";"14563";"1.4983";"1.0638";"0.941";"0.4343";"0.0137"
"259464_at";"14564";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259465_at";"14565";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259466_at";"14566";"0.6016";"0.2107";"0.0033";"1.0138";"0.9989"
"259467_at";"14567";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259468_at";"14568";"0.9768";"1.3086";"0.416";"1.3398";"0.5697"
"259469_at";"14569";"1.0152";"0.9745";"0.7277";"1.2716";"0.4147"
"259470_at";"14570";"1.1001";"1.0654";"0.925";"0.8919";"0.1391"
"259471_at";"14571";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259472_at";"14572";"0.993";"1.3084";"0.4157";"0.9854";"0.7559"
"259473_at";"14573";"0.8207";"0.7438";"0.0722";"0.9996";"0.7982"
"259474_at";"14574";"1.1105";"1.016";"0.8188";"1.0018";"0.2022"
"259475_at";"14575";"1.1649";"1.0578";"0.9601";"0.7489";"0.0771"
"259476_at";"14576";"1.009";"1.3064";"0.4356";"1.2926";"0.4589"
"259477_at";"14577";"0.8735";"0.8114";"0.0915";"1.0561";"0.9555"
"259478_at";"14578";"1.1202";"1.063";"0.9438";"0.8566";"0.12"
"259479_at";"14579";"1.0371";"1.3926";"0.5626";"1.2879";"0.4445"
"259480_at";"14580";"1.006";"0.9899";"0.7701";"1.2595";"0.3997"
"259481_at";"14581";"1.1182";"0.9958";"0.7833";"0.8972";"0.1432"
"259482_at";"14582";"1.0039";"0.9739";"0.7043";"1.2916";"0.4614"
"259483_at";"14583";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259484_at";"14584";"0.9197";"1.0112";"0.18";"1.0404";"0.8853"
"259485_at";"14585";"1.2869";"1.0515";"0.9708";"0.5689";"0.0286"
"259486_at";"14586";"1.3941";"1.0216";"0.9963";"0.4005";"0.0114"
"259487_at";"14587";"0.9819";"1.2365";"0.3195";"1.0106";"0.8249"
"259488_at";"14588";"1.1152";"1.065";"0.9324";"0.8723";"0.127"
"259489_at";"14589";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259490_at";"14590";"0.8211";"0.6555";"0.0506";"1.0487";"0.9763"
"259491_at";"14591";"1.0813";"1.0651";"0.9151";"0.9417";"0.1661"
"259492_at";"14592";"0.8446";"0.8077";"0.0904";"0.995";"0.7835"
"259493_at";"14593";"1.2694";"1.0237";"0.8309";"0.6125";"0.0392"
"259494_at";"14594";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259495_at";"14595";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259496_at";"14596";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259497_at";"14597";"1.071";"1.0643";"0.9097";"0.9819";"0.1887"
"259498_at";"14598";"1.0045";"1.3223";"0.4675";"1.2908";"0.4673"
"259499_at";"14599";"1.1015";"0.9945";"0.781";"0.987";"0.1917"
"259500_at";"14600";"0.9552";"1.0981";"0.2273";"0.9394";"0.6872"
"259501_at";"14601";"0.8817";"0.9093";"0.1334";"1.0153";"0.8376"
"259502_at";"14602";"1.0896";"0.9773";"0.697";"0.9865";"0.1911"
"259503_at";"14603";"1.1424";"1.0646";"0.9378";"0.8275";"0.1053"
"259504_at";"14604";"1.0089";"1.3673";"0.5414";"1.3153";"0.538"
"259505_at";"14605";"0.9865";"1.3086";"0.4461";"1.3233";"0.5452"
"259506_at";"14606";"0.9104";"0.9041";"0.1307";"1.0574";"0.944"
"259507_at";"14607";"0.9965";"1.3091";"0.4517";"1.2885";"0.4903"
"259508_at";"14608";"1.0251";"1.3676";"0.5431";"1.2867";"0.4407"
"259509_at";"14609";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259510_at";"14610";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259511_at";"14611";"1.1537";"0.9276";"0.6457";"0.8127";"0.1001"
"259512_at";"14612";"0.9596";"1.1641";"0.2672";"0.9654";"0.71"
"259513_at";"14613";"0.8729";"0.8108";"0.0916";"1.0573";"0.9517"
"259514_at";"14614";"0.97";"1.1252";"0.2435";"1.0405";"0.8851"
"259515_at";"14615";"0.9366";"1.0653";"0.2076";"1.0348";"0.8756"
"259516_at";"14616";"0.7095";"0.3943";"0.013";"1.0252";"0.9953"
"259517_at";"14617";"1.1359";"1.0595";"0.9533";"0.8299";"0.1061"
"259518_at";"14618";"1.5066";"1.0168";"0.9981";"0.286";"0.0055"
"259519_at";"14619";"1.0808";"1.0042";"0.7988";"1.0818";"0.2585"
"259520_at";"14620";"0.3052";"0.0094";"0";"1.0013";"1"
"259521_at";"14621";"1.0844";"1.0653";"0.9221";"0.9502";"0.1711"
"259522_at";"14622";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259523_at";"14623";"1.0698";"0.9839";"0.7548";"1.1061";"0.2735"
"259524_at";"14624";"1.022";"0.9807";"0.7441";"1.2719";"0.4159"
"259525_at";"14625";"1.0091";"1.3681";"0.5429";"1.3043";"0.5182"
"259526_at";"14626";"0.9348";"1.2201";"0.306";"0.8735";"0.6306"
"259527_at";"14627";"0.8443";"0.7439";"0.072";"1.0559";"0.9331"
"259528_at";"14628";"0.8114";"0.6371";"0.0456";"1.0434";"0.9833"
"259529_at";"14629";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259530_at";"14630";"1.0558";"0.9706";"0.6852";"1.0473";"0.2343"
"259531_at";"14631";"0.9868";"1.2489";"0.3342";"1.0088";"0.8202"
"259532_at";"14632";"0.9996";"1.3056";"0.4279";"1.2852";"0.4974"
"259533_at";"14633";"0.9999";"1.343";"0.5039";"1.324";"0.549"
"259534_at";"14634";"0.9704";"1.2509";"0.3359";"0.9927";"0.7786"
"259535_at";"14635";"1.1889";"1.0621";"0.9467";"0.6913";"0.0576"
"259536_s_at";"14636";"0.9078";"0.9013";"0.1293";"1.0564";"0.9378"
"259537_at";"14637";"1.2101";"1.0485";"0.976";"0.6857";"0.0562"
"259538_at";"14638";"0.8628";"0.7654";"0.0785";"1.053";"0.9671"
"259539_at";"14639";"0.7992";"0.663";"0.0525";"1.0538";"0.921"
"259540_at";"14640";"0.9412";"1.0085";"0.1789";"1.0524";"0.9177"
"259541_at";"14641";"1.1434";"1.0018";"0.795";"0.8961";"0.1424"
"259542_at";"14642";"0.9795";"1.3089";"0.4465";"1.3894";"0.6174"
"259543_at";"14643";"0.874";"0.8688";"0.1139";"0.9851";"0.7314"
"259544_at";"14644";"1.0359";"0.9757";"0.7326";"1.2237";"0.3612"
"259545_at";"14645";"1.0618";"1.3878";"0.5586";"1.2194";"0.3574"
"259546_at";"14646";"0.9911";"1.3174";"0.4617";"1.3438";"0.5745"
"259547_at";"14647";"1.0092";"0.9944";"0.7805";"1.2476";"0.3852"
"259548_at";"14648";"1.0683";"0.9743";"0.7222";"1.0991";"0.2688"
"259549_at";"14649";"0.7181";"0.4961";"0.0237";"1.0564";"0.9371"
"259550_at";"14650";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259551_at";"14651";"0.8388";"0.7111";"0.0638";"1.0533";"0.9657"
"259552_at";"14652";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259553_x_at";"14653";"1.1925";"1.063";"0.9053";"0.7137";"0.0665"
"259554_at";"14654";"1.0026";"1.3641";"0.5381";"1.3279";"0.5544"
"259555_at";"14655";"0.9985";"1.3062";"0.4357";"0.9852";"0.732"
"259556_at";"14656";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259557_at";"14657";"1.0012";"0.9737";"0.705";"1.2872";"0.4839"
"259558_at";"14658";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259559_at";"14659";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259560_at";"14660";"1.3609";"1.0348";"0.9875";"0.4624";"0.0164"
"259561_at";"14661";"1.6716";"1.0604";"0.9502";"0.318";"0.0071"
"259562_at";"14662";"1.3044";"1.0654";"0.9285";"0.5799";"0.0316"
"259563_s_at";"14663";"1.0011";"1.3095";"0.4474";"1.2904";"0.4497"
"259564_at";"14664";"0.9913";"1.2948";"0.391";"1.2885";"0.4902"
"259565_at";"14665";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259566_at";"14666";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259567_at";"14667";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259568_at";"14668";"1.0059";"1.3949";"0.5638";"1.3289";"0.5563"
"259569_at";"14669";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259570_at";"14670";"0.7007";"0.3765";"0.0119";"1.0237";"0.9959"
"259571_at";"14671";"0.953";"1.1796";"0.2756";"1.2866";"0.4939"
"259572_at";"14672";"1.0118";"1.0311";"0.8432";"1.1806";"0.3225"
"259573_at";"14673";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259574_at";"14674";"0.7672";"0.5436";"0.0296";"1.0494";"0.9755"
"259575_at";"14675";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259576_at";"14676";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259577_at";"14677";"0.9899";"1.3234";"0.4687";"1.3397";"0.5696"
"259578_at";"14678";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259579_at";"14679";"0.8831";"0.9221";"0.1378";"1.0056";"0.8119"
"259580_at";"14680";"1.0002";"0.9769";"0.6938";"1.2887";"0.4813"
"259581_at";"14681";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259582_at";"14682";"0.9939";"1.3154";"0.4598";"1.3043";"0.5184"
"259583_at";"14683";"0.8335";"0.6908";"0.058";"1.0509";"0.9729"
"259584_at";"14684";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259585_at";"14685";"1.2105";"0.8991";"0.6219";"0.8275";"0.1051"
"259586_at";"14686";"1.0323";"1.4266";"0.5832";"1.278";"0.4251"
"259587_at";"14687";"1.0761";"1.3282";"0.481";"1.1005";"0.2692"
"259588_at";"14688";"1.2994";"1.0296";"0.9912";"0.5464";"0.0248"
"259589_at";"14689";"0.9701";"1.1877";"0.2807";"1.0155";"0.8398"
"259590_at";"14690";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259591_at";"14691";"1.3339";"1.0252";"0.994";"0.4897";"0.0184"
"259592_at";"14692";"0.9668";"1.2093";"0.2971";"0.9852";"0.7457"
"259593_at";"14693";"1.0566";"0.9744";"0.7185";"1.1414";"0.2962"
"259594_at";"14694";"1.0354";"1.3403";"0.4978";"1.27";"0.4123"
"259595_at";"14695";"1.0423";"1.0538";"0.8789";"1.0798";"0.2574"
"259596_at";"14696";"1.1593";"0.9899";"0.7701";"0.829";"0.1073"
"259597_at";"14697";"1.0874";"0.9875";"0.7638";"1.0204";"0.2135"
"259598_at";"14698";"0.8766";"0.8129";"0.0923";"1.0542";"0.9628"
"259599_at";"14699";"1.1192";"0.9182";"0.6382";"1.0578";"0.2407"
"259600_at";"14700";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259601_s_at";"14701";"1.017";"1.0345";"0.8483";"1.1635";"0.3101"
"259602_at";"14702";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259603_at";"14703";"0.8563";"0.7477";"0.0732";"1.0517";"0.9703"
"259604_at";"14704";"1.144";"1.0594";"0.9536";"0.8297";"0.1062"
"259605_at";"14705";"0.9788";"1.2444";"0.328";"0.9651";"0.7097"
"259606_at";"14706";"0.9812";"1.2869";"0.3757";"0.9924";"0.7769"
"259607_at";"14707";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259608_at";"14708";"0.9415";"1.0768";"0.2163";"1.0294";"0.8649"
"259609_at";"14709";"1.251";"1.0641";"0.9107";"0.6289";"0.0419"
"259610_at";"14710";"1.0356";"1.0521";"0.876";"1.0966";"0.2676"
"259611_at";"14711";"0.563";"0.1639";"0.0019";"1.0101";"0.9995"
"259612_at";"14712";"1.0003";"1.3486";"0.5163";"1.3351";"0.5643"
"259613_at";"14713";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259614_at";"14714";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259615_at";"14715";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259616_at";"14716";"1.0706";"1.0413";"0.8581";"1.0173";"0.211"
"259617_at";"14717";"0.879";"0.829";"0.097";"1.0577";"0.9487"
"259618_at";"14718";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259619_at";"14719";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259620_s_at";"14720";"0.8905";"1.0199";"0.1849";"1.3235";"0.5458"
"259621_at";"14721";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259622_at";"14722";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259623_at";"14723";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259624_at";"14724";"0.986";"1.295";"0.3915";"0.9896";"0.769"
"259625_at";"14725";"1.0027";"1.339";"0.4948";"1.3144";"0.5358"
"259626_at";"14726";"1.1651";"1.057";"0.9616";"0.7703";"0.0834"
"259627_at";"14727";"0.9113";"1.0141";"0.1815";"1.0054";"0.8114"
"259628_at";"14728";"1.084";"1.3101";"0.4549";"0.9608";"0.1786"
"259629_at";"14729";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259630_at";"14730";"1.3009";"1.0312";"0.9899";"0.5462";"0.0251"
"259631_at";"14731";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259632_at";"14732";"2.2773";"1.0044";"0.9999";"0.06";"0.0003"
"259633_at";"14733";"1.0951";"1.0654";"0.9202";"0.9137";"0.1498"
"259634_at";"14734";"0.9831";"1.2855";"0.3749";"0.9864";"0.762"
"259635_at";"14735";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259636_at";"14736";"0.9779";"1.2763";"0.3645";"0.9943";"0.7822"
"259637_at";"14737";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259638_at";"14738";"1.0487";"0.9745";"0.7244";"1.1778";"0.3201"
"259639_at";"14739";"0.9863";"1.309";"0.4522";"1.3469";"0.579"
"259640_at";"14740";"2.6863";"1.0034";"1";"0.042";"0.0001"
"259641_at";"14741";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259642_at";"14742";"0.8182";"0.6444";"0.0478";"1.048";"0.9772"
"259643_at";"14743";"1.0039";"0.9738";"0.7044";"1.2916";"0.4612"
"259644_at";"14744";"0.8388";"0.8033";"0.0881";"1.0164";"0.8415"
"259645_at";"14745";"0.7762";"0.5438";"0.0295";"1.0375";"0.9881"
"259646_at";"14746";"0.9721";"1.2872";"0.3817";"1.3246";"0.5516"
"259647_at";"14747";"1.0024";"1.3101";"0.4541";"1.2907";"0.4628"
"259648_at";"14748";"0.9263";"1.0275";"0.1891";"0.9139";"0.6655"
"259649_at";"14749";"1.0324";"1.3599";"0.531";"1.2886";"0.4474"
"259650_at";"14750";"1.01";"0.9743";"0.718";"1.2844";"0.4348"
"259651_at";"14751";"1.0794";"1.0406";"0.8569";"0.9909";"0.1947"
"259652_at";"14752";"1.0356";"0.9845";"0.7567";"1.2044";"0.3445"
"259653_at";"14753";"1.124";"1.0537";"0.8787";"0.9136";"0.1503"
"259654_at";"14754";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259655_at";"14755";"1.104";"1.0654";"0.9246";"0.8964";"0.1424"
"259656_at";"14756";"1.0059";"0.9739";"0.715";"1.2904";"0.4675"
"259657_at";"14757";"0.7577";"0.5824";"0.0362";"0.9999";"0.7975"
"259658_at";"14758";"0.945";"1.0199";"0.1848";"1.0518";"0.9155"
"259659_at";"14759";"1.4422";"1.046";"0.9782";"0.4362";"0.0139"
"259660_at";"14760";"1.1576";"1.057";"0.9611";"0.7967";"0.0932"
"259661_at";"14761";"1.0019";"1.3443";"0.5068";"1.3268";"0.5536"
"259662_at";"14762";"0.9809";"1.2987";"0.3979";"1.3003";"0.5127"
"259663_at";"14763";"1.0679";"1.0639";"0.9084";"0.9907";"0.1948"
"259664_at";"14764";"0.7919";"0.5804";"0.0359";"1.041";"0.9859"
"259665_at";"14765";"1.1518";"1.0613";"0.9482";"0.8161";"0.1013"
"259666_at";"14766";"1.0084";"1.2865";"0.377";"1.2044";"0.3444"
"259667_at";"14767";"1.0596";"1.3817";"0.5546";"1.2161";"0.3547"
"259668_at";"14768";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259669_at";"14769";"0.9526";"1.222";"0.3088";"1.3241";"0.5494"
"259670_at";"14770";"0.9936";"1.2788";"0.3677";"0.9505";"0.6965"
"259671_at";"14771";"1.0241";"0.9748";"0.6901";"1.2268";"0.3655"
"259672_at";"14772";"0.9695";"1.2352";"0.3178";"0.9867";"0.7631"
"259673_at";"14773";"0.9246";"1.0144";"0.1817";"0.966";"0.7106"
"259674_at";"14774";"0.9205";"1.136";"0.2505";"1.3628";"0.5984"
"259675_at";"14775";"0.6327";"0.2583";"0.005";"1.0149";"0.9986"
"259676_at";"14776";"1.0035";"0.9745";"0.703";"1.2898";"0.464"
"259677_at";"14777";"0.9267";"0.9609";"0.1555";"1.0549";"0.93"
"259678_at";"14778";"1.1014";"1.0656";"0.9264";"0.921";"0.1557"
"259679_at";"14779";"1.0605";"1.375";"0.5493";"1.1587";"0.3071"
"259680_at";"14780";"0.6362";"0.2595";"0.0051";"1.0156";"0.9985"
"259681_at";"14781";"1.0054";"1.3367";"0.4911";"1.3105";"0.5285"
"259682_at";"14782";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259683_at";"14783";"1.1049";"0.9884";"0.7665";"0.9994";"0.1998"
"259684_at";"14784";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259685_at";"14785";"1.011";"0.9742";"0.7222";"1.2799";"0.4279"
"259686_at";"14786";"0.9733";"1.2037";"0.2928";"1.0154";"0.8372"
"259687_at";"14787";"1.0399";"0.9888";"0.7672";"1.2278";"0.3668"
"259688_at";"14788";"0.818";"0.6442";"0.0479";"1.0448";"0.9821"
"259689_x_at";"14789";"0.9635";"1.2154";"0.3008";"0.9924";"0.7768"
"259690_at";"14790";"1.37";"1.0259";"0.9935";"0.4493";"0.0151"
"259691_at";"14791";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259692_at";"14792";"0.7782";"0.637";"0.0461";"0.9855";"0.7538"
"259693_at";"14793";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259694_at";"14794";"0.8842";"0.8948";"0.1253";"1.0461";"0.9011"
"259695_at";"14795";"1.0816";"1.0637";"0.9071";"0.9694";"0.1824"
"259696_at";"14796";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259697_at";"14797";"0.9154";"1.0807";"0.2182";"1.2896";"0.4897"
"259698_at";"14798";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259699_at";"14799";"0.9706";"1.2511";"0.3363";"0.9927";"0.7784"
"259700_at";"14800";"1.0334";"1.0501";"0.8727";"1.0847";"0.2598"
"259701_at";"14801";"0.8924";"0.8598";"0.1102";"1.0577";"0.9483"
"259702_at";"14802";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259703_at";"14803";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259704_at";"14804";"0.8703";"0.8063";"0.0888";"1.0578";"0.9502"
"259705_at";"14805";"1.136";"1.0152";"0.8177";"0.9259";"0.1584"
"259706_at";"14806";"1.0214";"0.9736";"0.6884";"1.2188";"0.3569"
"259707_at";"14807";"1.0197";"0.9771";"0.6973";"1.2497";"0.3881"
"259708_at";"14808";"1.0844";"0.9981";"0.7886";"1.0726";"0.2504"
"259709_at";"14809";"0.987";"1.2715";"0.3551";"1.257";"0.3967"
"259710_at";"14810";"1.1096";"0.9739";"0.7158";"0.8888";"0.1368"
"259711_at";"14811";"1";"1.2979";"0.3962";"1.2494";"0.3886"
"259712_at";"14812";"1.0356";"0.9752";"0.6908";"1.1842";"0.3259"
"259713_at";"14813";"0.9561";"1.2303";"0.3147";"1.3167";"0.5407"
"259714_at";"14814";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259715_at";"14815";"1.0627";"1.3474";"0.5144";"0.9413";"0.1661"
"259716_at";"14816";"1.0683";"0.9748";"0.6902";"1.0751";"0.2523"
"259717_at";"14817";"1.2315";"1.0472";"0.9776";"0.6462";"0.0477"
"259718_at";"14818";"1.1437";"0.9935";"0.7779";"0.8906";"0.1378"
"259719_at";"14819";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259720_at";"14820";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259721_at";"14821";"0.9029";"0.8919";"0.1228";"1.0567";"0.9422"
"259722_at";"14822";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259723_at";"14823";"0.6889";"0.3578";"0.0102";"1.0209";"0.997"
"259724_at";"14824";"0.9573";"1.1585";"0.2643";"0.9737";"0.7178"
"259725_at";"14825";"1.1242";"1.0568";"0.886";"0.8709";"0.1258"
"259726_at";"14826";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259727_at";"14827";"0.9411";"1.0106";"0.1803";"1.0503";"0.9112"
"259728_at";"14828";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259729_at";"14829";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259730_at";"14830";"1.015";"1.2163";"0.3003";"1.0418";"0.2298"
"259731_at";"14831";"0.9161";"0.9604";"0.1552";"0.9717";"0.7158"
"259732_at";"14832";"1.0617";"0.9736";"0.7062";"1.0445";"0.2328"
"259733_at";"14833";"1.252";"1.0488";"0.9758";"0.6285";"0.0417"
"259734_at";"14834";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259735_at";"14835";"1.4747";"1.0181";"0.9977";"0.3081";"0.0066"
"259736_at";"14836";"1.0189";"1.307";"0.4321";"1.2667";"0.4085"
"259737_at";"14837";"1.0379";"1.3608";"0.5339";"1.2404";"0.3797"
"259738_at";"14838";"1.0684";"1.3722";"0.5474";"1.1913";"0.333"
"259739_at";"14839";"1.0136";"1.3072";"0.4319";"1.2871";"0.441"
"259740_at";"14840";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259741_at";"14841";"1.0664";"1.4266";"0.5833";"1.2192";"0.3575"
"259742_at";"14842";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259743_at";"14843";"1.164";"1.0556";"0.9638";"0.7745";"0.085"
"259744_at";"14844";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259745_at";"14845";"1.1275";"1.0604";"0.8966";"0.9171";"0.1544"
"259746_at";"14846";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259747_at";"14847";"1.086";"0.9848";"0.7578";"0.9896";"0.1937"
"259748_at";"14848";"1.0606";"1.037";"0.8519";"1.0794";"0.2562"
"259749_at";"14849";"1.2854";"1.0649";"0.9333";"0.6189";"0.0405"
"259750_at";"14850";"0.7866";"0.5628";"0.0333";"1.0365";"0.9889"
"259751_at";"14851";"0.9449";"1.1312";"0.247";"0.9944";"0.7826"
"259752_at";"14852";"1.3769";"1.0255";"0.9938";"0.446";"0.0147"
"259753_at";"14853";"1.0855";"1.0042";"0.7994";"1.0209";"0.2138"
"259754_at";"14854";"1.1093";"1.0644";"0.9341";"0.8937";"0.1399"
"259755_at";"14855";"0.9747";"1.2995";"0.399";"1.3301";"0.5581"
"259756_at";"14856";"1.2139";"1.0477";"0.9772";"0.6612";"0.051"
"259757_at";"14857";"1.4531";"1.0183";"0.9977";"0.3232";"0.0074"
"259758_s_at";"14858";"0.8838";"0.8917";"0.1227";"1.0452";"0.897"
"259759_at";"14859";"0.997";"1.346";"0.5106";"1.329";"0.557"
"259760_at";"14860";"0.8689";"0.7906";"0.0845";"1.0537";"0.9654"
"259761_at";"14861";"0.7561";"0.4953";"0.0233";"1.0345";"0.9903"
"259762_at";"14862";"0.93";"1.0391";"0.1951";"1.0347";"0.8753"
"259763_at";"14863";"1.1713";"1.0542";"0.9674";"0.7635";"0.0814"
"259764_at";"14864";"1.0608";"1.0407";"0.8572";"1.0964";"0.2677"
"259765_at";"14865";"0.7573";"0.4971";"0.0238";"1.0393";"0.9874"
"259766_at";"14866";"0.8389";"0.7097";"0.0625";"1.0503";"0.9739"
"259767_s_at";"14867";"1.0207";"0.9761";"0.6925";"1.2571";"0.3966"
"259768_at";"14868";"0.7264";"0.4401";"0.0162";"1.0305";"0.9927"
"259769_at";"14869";"0.9";"0.9794";"0.1643";"1.0149";"0.8356"
"259770_s_at";"14870";"1.1442";"1.0609";"0.9488";"0.7929";"0.0916"
"259771_at";"14871";"0.9665";"1.1033";"0.2293";"1.0443";"0.8932"
"259772_at";"14872";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259773_at";"14873";"0.5934";"0.2056";"0.003";"1.0139";"0.9989"
"259774_at";"14874";"0.7138";"0.4078";"0.0137";"1.0254";"0.9953"
"259775_at";"14875";"0.9979";"1.3278";"0.4794";"1.3244";"0.5482"
"259776_s_at";"14876";"1.0502";"1.29";"0.3847";"1.079";"0.2559"
"259777_at";"14877";"1.0787";"1.002";"0.7953";"1.0392";"0.228"
"259778_at";"14878";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259779_s_at";"14879";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259780_at";"14880";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259781_at";"14881";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259782_at";"14882";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259783_at";"14883";"1.0117";"1.3068";"0.4204";"1.2344";"0.3756"
"259784_at";"14884";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259785_at";"14885";"1.0007";"0.977";"0.6938";"1.2877";"0.4802"
"259786_at";"14886";"0.9545";"1.1755";"0.273";"0.9922";"0.7762"
"259787_at";"14887";"0.9221";"0.9537";"0.1519";"1.0526";"0.9175"
"259788_at";"14888";"1.1999";"1.0491";"0.9757";"0.6975";"0.062"
"259789_at";"14889";"0.5872";"0.1952";"0.0027";"1.0118";"0.9992"
"259790_s_at";"14890";"0.8869";"0.8435";"0.1037";"1.0564";"0.9534"
"259791_at";"14891";"1.1284";"1.064";"0.9398";"0.8701";"0.1255"
"259792_at";"14892";"0.9222";"0.9461";"0.1485";"1.0556";"0.9323"
"259793_at";"14893";"1.3477";"1.0437";"0.98";"0.511";"0.0207"
"259794_at";"14894";"0.4684";"0.0799";"0.0005";"1.0056";"0.9999"
"259795_at";"14895";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259796_at";"14896";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259797_at";"14897";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259798_at";"14898";"0.9819";"1.2841";"0.3709";"0.9867";"0.7638"
"259799_at";"14899";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259800_at";"14900";"0.9191";"1.1174";"0.2386";"1.3076";"0.5249"
"259801_at";"14901";"0.682";"0.3624";"0.0104";"1.0253";"0.9953"
"259802_at";"14902";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259803_at";"14903";"1.0745";"0.9981";"0.7892";"1.1037";"0.2712"
"259804_at";"14904";"1.2658";"1.0335";"0.9886";"0.5934";"0.0339"
"259805_at";"14905";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259806_at";"14906";"1.1622";"1.0594";"0.9544";"0.7749";"0.0856"
"259807_at";"14907";"1";"1.0698";"0.5847";"1.0746";"0.627"
"259808_at";"14908";"1";"1.0698";"0.5847";"1.0746";"0.627"
