"ath1_probe";"probe_target_number";"FC_35LFY_vs_LER";"pfp_35LFY_vs_LER_down";"P.value_35LFY_vs_LER_down";"pfp_35LFY_vs_LER_up";"P.value_35LFY_vs_LER_up"
"246432_at";"1532";"1.0148";"0.9202";"0.6399";"1.2914";"0.454"
"246433_at";"1533";"1.007";"0.9743";"0.7174";"1.2907";"0.4633"
"246434_at";"1534";"1.0722";"0.9838";"0.7546";"1.1057";"0.2731"
"246435_at";"1535";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246436_at";"1536";"1.0749";"0.9539";"0.6686";"1.0378";"0.2259"
"246437_at";"1537";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246438_at";"1538";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246439_at";"1539";"0.9324";"1.0205";"0.1859";"1.4002";"0.6238"
"246440_at";"1540";"1.0959";"0.9967";"0.7851";"1.033";"0.2234"
"246441_at";"1541";"1.0474";"0.8568";"0.5869";"1.2746";"0.4191"
"246442_at";"1542";"1.4337";"1.0233";"0.995";"0.3634";"0.0095"
"246443_at";"1543";"0.8793";"0.8289";"0.0967";"1.0574";"0.9508"
"246444_at";"1544";"1.14";"1.3395";"0.4972";"0.8653";"0.1234"
"246445_at";"1545";"1.1756";"1.054";"0.9675";"0.7528";"0.0782"
"246446_at";"1546";"1.0583";"1.3674";"0.5407";"1.2103";"0.3508"
"246447_at";"1547";"0.8852";"0.8406";"0.1027";"1.0578";"0.9486"
"246448_at";"1548";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246449_at";"1549";"1.3926";"1.0286";"0.9917";"0.4302";"0.0134"
"246450_at";"1550";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246451_at";"1551";"0.9713";"1.2282";"0.3128";"0.9785";"0.7228"
"246452_at";"1552";"1.1454";"1.0583";"0.9579";"0.8172";"0.1021"
"246453_at";"1553";"1.0302";"0.9514";"0.666";"1.2177";"0.3557"
"246454_at";"1554";"1.186";"1.0509";"0.9722";"0.7149";"0.0667"
"246455_at";"1555";"0.9823";"1.2838";"0.3723";"0.9865";"0.7632"
"246456_at";"1556";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246457_at";"1557";"1.0543";"0.9401";"0.6561";"1.0308";"0.2219"
"246458_at";"1558";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246459_at";"1559";"0.8704";"0.9085";"0.1326";"1.0164";"0.8416"
"246460_at";"1560";"1.1395";"1.3823";"0.5551";"0.9523";"0.1723"
"246461_at";"1561";"1.0722";"1.0627";"0.9044";"1.0069";"0.2044"
"246462_at";"1562";"0.4409";"0.0634";"0.0003";"1.0038";"0.9999"
"246463_at";"1563";"1.3743";"1.0227";"0.9956";"0.4321";"0.0135"
"246464_at";"1564";"1.3298";"1.0281";"0.9922";"0.5033";"0.0194"
"246465_at";"1565";"1.3946";"1.0555";"0.964";"0.4572";"0.0159"
"246466_at";"1566";"1.1017";"1.0654";"0.9191";"0.916";"0.1537"
"246467_at";"1567";"1.106";"0.982";"0.1656";"0.695";"0.0585"
"246468_at";"1568";"0.9194";"1.0384";"0.1938";"0.9973";"0.7893"
"246469_at";"1569";"0.9153";"0.9969";"0.1735";"0.9925";"0.7773"
"246470_at";"1570";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246471_s_at";"1571";"0.4551";"0.0746";"0.0004";"1.0046";"0.9999"
"246472_at";"1572";"0.9889";"1.2978";"0.3965";"0.9854";"0.7521"
"246473_at";"1573";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246474_at";"1574";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246475_at";"1575";"1.0047";"0.9184";"0.6384";"1.3022";"0.5148"
"246476_at";"1576";"0.6611";"0.3268";"0.0082";"1.0231";"0.9962"
"246477_at";"1577";"0.9513";"1.1173";"0.2387";"1.0223";"0.8532"
"246478_at";"1578";"1.1871";"1.0576";"0.9605";"0.699";"0.0617"
"246479_at";"1579";"1.2512";"1.0408";"0.9828";"0.6148";"0.0395"
"246480_at";"1580";"1.0142";"1.3661";"0.5401";"1.3061";"0.5202"
"246481_s_at";"1581";"0.8407";"0.7076";"0.0617";"1.0491";"0.9756"
"246482_at";"1582";"0.9129";"0.9793";"0.1645";"1.0437";"0.8906"
"246483_at";"1583";"0.8001";"0.6052";"0.0398";"1.0461";"0.9809"
"246484_at";"1584";"1.1412";"1.0124";"0.8136";"0.8523";"0.1181"
"246485_at";"1585";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246486_at";"1586";"1.0422";"1.0554";"0.883";"1.0718";"0.2489"
"246487_at";"1587";"0.9549";"1.0654";"0.2076";"1.046";"0.9013"
"246488_at";"1588";"1.0624";"1.0604";"0.8967";"1.0281";"0.2204"
"246489_at";"1589";"1.0312";"1.0505";"0.8733";"1.107";"0.2739"
"246490_at";"1590";"0.9281";"1.0677";"0.2087";"0.998";"0.7907"
"246491_at";"1591";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246492_at";"1592";"0.7962";"0.5862";"0.0371";"1.0413";"0.9854"
"246493_at";"1593";"0.8938";"0.9839";"0.1677";"1.0138";"0.8334"
"246494_at";"1594";"1.0058";"0.9917";"0.7735";"1.2664";"0.4077"
"246495_at";"1595";"0.7583";"0.5531";"0.032";"1.0563";"0.9405"
"246496_at";"1596";"0.9989";"1.2846";"0.3718";"1.2781";"0.4249"
"246497_at";"1597";"0.9289";"0.9993";"0.1752";"0.9498";"0.6959"
"246498_at";"1598";"0.9949";"1.3067";"0.4207";"0.9858";"0.74"
"246499_at";"1599";"1.1339";"0.9758";"0.7323";"0.8926";"0.1389"
"246500_at";"1600";"1.0165";"1.3344";"0.4877";"1.2908";"0.462"
"246501_at";"1601";"0.8844";"0.8361";"0.0999";"1.0551";"0.9584"
"246502_at";"1602";"0.822";"0.7124";"0.0643";"1.0542";"0.923"
"246503_at";"1603";"0.9593";"1.0712";"0.2125";"1.0463";"0.9018"
"246504_at";"1604";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246505_at";"1605";"1.1434";"1.064";"0.9408";"0.788";"0.0903"
"246506_at";"1606";"1.0163";"1.3819";"0.5543";"1.1894";"0.3303"
"246507_at";"1607";"1.0723";"1.0622";"0.9028";"0.9971";"0.1982"
"246508_at";"1608";"1.2606";"1.0362";"0.9868";"0.5939";"0.0344"
"246509_at";"1609";"0.9876";"1.2596";"0.3409";"1.0094";"0.8225"
"246510_at";"1610";"0.9441";"1.1296";"0.2456";"0.9893";"0.7708"
"246511_at";"1611";"0.9547";"1.1413";"0.2548";"0.9828";"0.7275"
"246512_at";"1612";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246513_at";"1613";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246514_at";"1614";"1";"1.0698";"0.5847";"1.0746";"0.627"
