"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"247974_at";"3074";"1.1613";"1.1082";"0.9297";"0.4389";"0.0556"
"247975_at";"3075";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"247976_at";"3076";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"247977_at";"3077";"1.0261";"1.4329";"0.3813";"0.8491";"0.191"
"247978_at";"3078";"0.9682";"1.3862";"0.3543";"1.0569";"0.8438"
"247979_at";"3079";"1.6747";"1.01";"1";"0.0054";"0.0001"
"247980_at";"3080";"0.2948";"0.0002";"0";"1.0077";"1"
"247981_at";"3081";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"247982_at";"3082";"1.1953";"1.0898";"0.9839";"0.3451";"0.0345"
"247983_at";"3083";"0.964";"1.2334";"0.2768";"1.0423";"0.8183"
"247984_s_at";"3084";"1.1341";"1.1094";"0.9392";"0.5072";"0.072"
"247985_at";"3085";"0.6949";"0.0598";"0.0029";"1.0473";"0.9998"
"247986_at";"3086";"0.9168";"0.6817";"0.0929";"1.1003";"0.9881"
"247987_at";"3087";"1.1245";"1.1032";"0.9007";"0.6037";"0.0984"
"247988_at";"3088";"1.3537";"1.0799";"0.8313";"0.1318";"0.0061"
"247989_at";"3089";"0.9084";"0.6884";"0.0945";"1.1059";"0.9812"
"247990_at";"3090";"0.8679";"0.4712";"0.0526";"1.1038";"0.9848"
"247991_at";"3091";"0.9152";"0.9453";"0.1662";"1.1023";"0.94"
"247992_at";"3092";"1.1314";"1.1073";"0.9559";"0.5772";"0.0907"
"247993_at";"3093";"1.0391";"1.0302";"0.6906";"1.2101";"0.3824"
"247994_at";"3094";"1.3032";"1.0376";"0.9989";"0.1117";"0.0046"
"247995_at";"3095";"2.4438";"1.0031";"1";"0.0001";"0"
"247996_at";"3096";"1.0711";"1.1094";"0.9486";"0.8459";"0.1894"
"247997_at";"3097";"1.149";"1.1079";"0.929";"0.4264";"0.0526"
"247998_at";"3098";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"247999_at";"3099";"0.9932";"1.5725";"0.4854";"1.5004";"0.6205"
"248000_at";"3100";"1.0907";"1.1077";"0.9312";"0.7681";"0.156"
"248001_at";"3101";"1.0556";"1.0825";"0.8358";"0.9695";"0.2457"
"248002_at";"3102";"1.018";"1.0738";"0.8172";"1.2971";"0.4425"
"248003_at";"3103";"0.5853";"0.0181";"0.0006";"1.0318";"1"
"248004_at";"3104";"1.0819";"1.1078";"0.9554";"0.7953";"0.1679"
"248005_at";"3105";"0.8747";"0.5001";"0.0577";"1.108";"0.9776"
"248006_at";"3106";"0.9318";"1.0675";"0.2078";"1.4195";"0.5386"
"248007_at";"3107";"0.9659";"1.3202";"0.3165";"1.0524";"0.8365"
"248008_at";"3108";"0.8653";"0.3967";"0.0398";"1.0859";"0.9954"
"248009_at";"3109";"0.9859";"1.4783";"0.4089";"1.5271";"0.7238"
"248010_at";"3110";"1.0486";"1.109";"0.9477";"0.9487";"0.2359"
"248011_at";"3111";"1.0787";"1.6176";"0.531";"1.0419";"0.2822"
"248012_at";"3112";"1.0597";"1.0932";"0.8644";"1.1379";"0.3367"
"248013_at";"3113";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248014_at";"3114";"0.9698";"1.3381";"0.3261";"1.106";"0.3193"
"248015_at";"3115";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248016_at";"3116";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248017_at";"3117";"0.6293";"0.0313";"0.0013";"1.0453";"0.9999"
"248018_at";"3118";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248019_at";"3119";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248020_at";"3120";"1.4778";"1.0225";"0.9998";"0.0311";"0.0006"
"248021_at";"3121";"1.0559";"1.083";"0.8382";"1.0218";"0.2726"
"248022_at";"3122";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248023_at";"3123";"1.0575";"1.61";"0.5232";"0.8272";"0.1813"
"248024_at";"3124";"1.0273";"1.0867";"0.848";"1.3005";"0.4452"
"248025_at";"3125";"1.1005";"1.1035";"0.9027";"0.7193";"0.1378"
"248026_at";"3126";"1.0537";"1.0284";"0.6878";"0.9618";"0.2419"
"248027_at";"3127";"0.9594";"1.3592";"0.3394";"1.2842";"0.4332"
"248028_at";"3128";"0.5867";"0.016";"0.0005";"1.0306";"1"
"248029_at";"3129";"1.2087";"1.0827";"0.9886";"0.2533";"0.0197"
"248030_at";"3130";"1.4891";"1.0481";"0.9976";"0.0365";"0.0008"
"248031_at";"3131";"1.0006";"1.4802";"0.4114";"1.4391";"0.5554"
"248032_at";"3132";"0.9543";"0.8931";"0.1498";"1.3858";"0.5139"
"248033_s_at";"3133";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248034_at";"3134";"1.0432";"1.0692";"0.8042";"1.17";"0.3585"
"248035_at";"3135";"1.2215";"1.1061";"0.9617";"0.2647";"0.0215"
"248036_at";"3136";"0.7528";"0.1131";"0.0066";"1.0575";"0.9994"
"248037_at";"3137";"1.0027";"1.0522";"0.7573";"1.5115";"0.6392"
"248038_at";"3138";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248039_at";"3139";"0.9942";"1.6294";"0.5471";"1.043";"0.8202"
"248040_at";"3140";"0.9634";"1.2084";"0.2668";"1.093";"0.9166"
"248041_at";"3141";"1.1999";"1.0491";"0.9975";"0.2692";"0.0224"
"248042_at";"3142";"0.9066";"0.8185";"0.1282";"1.0305";"0.7842"
"248043_s_at";"3143";"0.7745";"0.1437";"0.0091";"1.0606";"0.9992"
"248044_at";"3144";"1.0999";"1.1057";"0.9089";"0.7237";"0.1393"
"248045_at";"3145";"0.794";"0.1676";"0.0116";"1.0605";"0.9992"
"248046_at";"3146";"0.7359";"0.0958";"0.0054";"1.0535";"0.9996"
"248047_at";"3147";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248048_at";"3148";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248049_at";"3149";"1.1031";"1.0523";"0.7555";"0.727";"0.1404"
"248050_at";"3150";"1.3239";"1.1051";"0.9631";"0.1997";"0.0127"
"248051_at";"3151";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248052_at";"3152";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248053_at";"3153";"1.0006";"1.0591";"0.7296";"1.5107";"0.6362"
"248054_at";"3154";"1.2373";"1.0934";"0.9799";"0.2546";"0.0199"
"248055_at";"3155";"1.0285";"1.0455";"0.7095";"1.3397";"0.476"
"248056_at";"3156";"1.2281";"1.0495";"0.9975";"0.2423";"0.0179"
"248057_at";"3157";"1.1524";"1.108";"0.9335";"0.4781";"0.0654"
"248058_at";"3158";"0.6593";"0.0349";"0.0015";"1.04";"0.9999"
"248059_at";"3159";"1.0859";"1.0553";"0.7728";"0.7519";"0.1505"
"248060_at";"3160";"1.2491";"1.07";"0.9933";"0.2021";"0.0129"
"248061_at";"3161";"1.0773";"1.1079";"0.9285";"0.7952";"0.1678"
"248062_at";"3162";"0.3498";"0.0006";"0";"1.0137";"1"
"248063_at";"3163";"0.8682";"0.4167";"0.043";"1.0887";"0.9947"
"248064_at";"3164";"1.2607";"1.0477";"0.9977";"0.174";"0.0099"
"248065_at";"3165";"1.1172";"1.1044";"0.9641";"0.606";"0.0992"
"248066_at";"3166";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248067_at";"3167";"1.0635";"1.0679";"0.7409";"0.8297";"0.1824"
"248068_at";"3168";"0.9541";"1.3194";"0.3159";"1.5067";"0.6541"
"248069_at";"3169";"0.9982";"1.6426";"0.5675";"1.0418";"0.8129"
"248070_at";"3170";"0.8808";"0.5341";"0.0639";"1.109";"0.9692"
"248071_at";"3171";"1.1183";"1.107";"0.9588";"0.6135";"0.1017"
"248072_at";"3172";"1.1843";"1.1085";"0.9351";"0.4493";"0.0577"
"248073_at";"3173";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248074_at";"3174";"1.3616";"1.0287";"0.9995";"0.0837";"0.0029"
"248075_at";"3175";"1.0368";"1.6351";"0.5538";"1.1732";"0.3604"
"248076_at";"3176";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248077_at";"3177";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248078_at";"3178";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248079_at";"3179";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248080_at";"3180";"0.9857";"1.6322";"0.549";"1.3507";"0.4832"
"248081_at";"3181";"1.1315";"1.1057";"0.909";"0.5569";"0.0851"
"248082_at";"3182";"1.0401";"1.5016";"0.4231";"0.9737";"0.2475"
"248083_at";"3183";"0.9917";"1.5303";"0.4467";"1.0734";"0.8772"
"248084_at";"3184";"1.006";"1.0981";"0.8806";"1.3023";"0.4464"
"248085_at";"3185";"1.1456";"1.0677";"0.994";"0.4503";"0.058"
"248086_at";"3186";"0.988";"1.5018";"0.4243";"1.5346";"0.7366"
"248087_at";"3187";"1.1075";"1.0992";"0.9746";"0.6432";"0.1119"
"248088_at";"3188";"0.9887";"1.5837";"0.4983";"1.5093";"0.6342"
"248089_at";"3189";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248090_at";"3190";"0.9997";"1.668";"0.6422";"1.5162";"0.7122"
"248091_at";"3191";"1.2877";"1.0356";"0.9991";"0.1274";"0.0057"
"248092_at";"3192";"1.0718";"1.0617";"0.7872";"0.9145";"0.2196"
"248093_at";"3193";"1.2845";"1.0337";"0.9993";"0.1453";"0.0074"
"248094_at";"3194";"0.9323";"0.8699";"0.1416";"1.1076";"0.9543"
"248095_at";"3195";"1.0767";"1.0536";"0.7686";"0.9261";"0.2252"
"248096_at";"3196";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248097_at";"3197";"0.9193";"0.7927";"0.1207";"1.0419";"0.8163"
"248098_at";"3198";"0.9742";"1.4504";"0.3919";"1.5071";"0.6513"
"248099_at";"3199";"1.037";"1.0307";"0.691";"1.1968";"0.3743"
"248100_at";"3200";"0.787";"0.196";"0.0144";"1.0987";"0.9896"
"248101_at";"3201";"1.0023";"1.6423";"0.6029";"1.2873";"0.4359"
"248102_at";"3202";"0.9257";"0.843";"0.1346";"1.1071";"0.957"
"248103_at";"3203";"0.9323";"1.0281";"0.1926";"1.5073";"0.6504"
"248104_at";"3204";"0.5301";"0.0101";"0.0003";"1.027";"1"
"248105_at";"3205";"1.0726";"1.1086";"0.9352";"0.8465";"0.1897"
"248106_at";"3206";"1.118";"1.0843";"0.842";"0.7071";"0.1333"
"248107_at";"3207";"1.0597";"1.0932";"0.8645";"1.0166";"0.2697"
"248108_at";"3208";"0.9914";"1.6111";"0.5243";"1.4573";"0.5794"
"248109_at";"3209";"0.9431";"0.9423";"0.1651";"1.1006";"0.9351"
"248110_at";"3210";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248111_at";"3211";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248112_at";"3212";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248113_at";"3213";"1.2535";"1.0685";"0.9937";"0.2023";"0.0129"
"248114_at";"3214";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248115_at";"3215";"1.2169";"1.047";"0.9978";"0.2508";"0.0192"
"248116_at";"3216";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248117_at";"3217";"1.1948";"1.0569";"0.9962";"0.3012";"0.0273"
"248118_at";"3218";"0.934";"1.0642";"0.2068";"1.0975";"0.9268"
"248119_at";"3219";"1.0169";"1.0603";"0.7847";"1.4563";"0.5768"
"248120_at";"3220";"0.9629";"1.3758";"0.3488";"1.5236";"0.7197"
"248121_at";"3221";"0.9505";"1.1373";"0.2357";"1.0903";"0.9086"
"248122_at";"3222";"1";"1.0689";"0.7443";"1.4802";"0.6668"
"248123_at";"3223";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248124_at";"3224";"1.3132";"1.0348";"0.9992";"0.1078";"0.0043"
"248125_at";"3225";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248126_at";"3226";"1.0132";"1.0541";"0.7231";"1.3829";"0.5111"
"248127_at";"3227";"1.0151";"1.056";"0.7746";"1.1949";"0.3732"
"248128_at";"3228";"0.8531";"0.3474";"0.0326";"1.0791";"0.997"
"248129_at";"3229";"0.8791";"0.5758";"0.0719";"1.0927";"0.9147"
"248130_at";"3230";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248131_at";"3231";"1.1385";"1.106";"0.9121";"0.6185";"0.1032"
"248132_at";"3232";"0.6635";"0.0404";"0.0018";"1.0412";"0.9999"
"248133_at";"3233";"0.7355";"0.0926";"0.0051";"1.0548";"0.9996"
"248134_at";"3234";"0.931";"0.9848";"0.1785";"1.1046";"0.9462"
"248135_at";"3235";"1.1165";"1.1066";"0.9595";"0.6212";"0.1041"
"248136_at";"3236";"0.9682";"1.1858";"0.2572";"1.06";"0.8491"
"248137_at";"3237";"1.0005";"1.0547";"0.7524";"1.5003";"0.659"
"248138_at";"3238";"1.0031";"1.6618";"0.6281";"1.1634";"0.3528"
"248139_at";"3239";"0.9317";"1.074";"0.2104";"1.5425";"0.7446"
"248140_at";"3240";"1.0103";"1.6708";"0.6508";"1.3682";"0.496"
"248141_at";"3241";"1.1679";"1.6678";"0.6436";"0.2561";"0.0201"
"248142_at";"3242";"1.25";"1.0901";"0.9835";"0.2198";"0.015"
"248143_at";"3243";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248144_at";"3244";"1.2074";"1.0825";"0.9889";"0.2649";"0.0216"
"248145_at";"3245";"0.9659";"1.3546";"0.3359";"1.3948";"0.52"
"248146_at";"3246";"1.0228";"1.1019";"0.8972";"1.1525";"0.3468"
"248147_at";"3247";"0.9633";"1.1196";"0.2276";"1.1009";"0.9376"
"248148_at";"3248";"0.9866";"1.4492";"0.3913";"1.5083";"0.7014"
"248149_at";"3249";"1.1409";"1.0718";"0.9928";"0.4655";"0.062"
"248150_at";"3250";"1.1363";"1.0525";"0.7647";"0.4309";"0.0537"
"248151_at";"3251";"0.9738";"1.4009";"0.3629";"1.0537";"0.8385"
"248152_at";"3252";"1.0344";"1.0958";"0.8734";"1.1677";"0.3561"
"248153_at";"3253";"0.3447";"0.0005";"0";"1.0106";"1"
"248154_at";"3254";"0.1863";"0";"0";"1.0027";"1"
"248155_at";"3255";"1.0145";"1.0395";"0.7016";"1.4563";"0.5776"
"248156_at";"3256";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248157_at";"3257";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248158_at";"3258";"1.2071";"1.1087";"0.9539";"0.3053";"0.0281"
"248159_at";"3259";"1.0022";"1.0523";"0.7559";"1.5102";"0.6424"
"248160_at";"3260";"0.9977";"1.63";"0.5453";"1.0357";"0.7908"
"248161_at";"3261";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248162_at";"3262";"0.9023";"0.6526";"0.0868";"1.1059";"0.9816"
"248163_at";"3263";"0.1497";"0";"0";"1.0018";"1"
"248164_at";"3264";"0.4854";"0.006";"0.0001";"1.0224";"1"
"248165_at";"3265";"0.9667";"1.3822";"0.3525";"1.4995";"0.6928"
"248166_at";"3266";"1.0394";"1.5869";"0.5013";"1.1927";"0.3719"
"248167_at";"3267";"0.8586";"0.499";"0.0575";"1.1072";"0.9787"
"248168_at";"3268";"0.9552";"1.4868";"0.4143";"1.5024";"0.6236"
"248169_at";"3269";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248170_at";"3270";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248171_at";"3271";"1.0105";"1.6525";"0.6173";"1.4063";"0.5297"
"248172_at";"3272";"0.5622";"0.0132";"0.0004";"1.0279";"1"
"248173_at";"3273";"0.9809";"1.5103";"0.4312";"1.4792";"0.6671"
"248174_at";"3274";"0.9651";"1.4024";"0.3639";"1.0415";"0.7995"
"248175_at";"3275";"1.0342";"1.083";"0.8388";"1.1666";"0.3553"
"248176_at";"3276";"0.9268";"1.0045";"0.1851";"1.0546";"0.8401"
"248177_at";"3277";"0.8086";"0.3276";"0.03";"1.098";"0.9286"
"248178_at";"3278";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248179_at";"3279";"0.9693";"1.0891";"0.2164";"1.4382";"0.5548"
"248180_at";"3280";"1.0149";"1.6069";"0.521";"1.4813";"0.6034"
"248181_at";"3281";"0.9765";"1.4348";"0.3825";"1.0542";"0.8396"
"248182_at";"3282";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248183_at";"3283";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248184_at";"3284";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248185_at";"3285";"1.2192";"1.1008";"0.9733";"0.247";"0.0186"
"248186_at";"3286";"0.9059";"0.6551";"0.0873";"1.1072";"0.9792"
"248187_at";"3287";"1.0183";"1.5835";"0.4986";"1.5069";"0.653"
"248188_at";"3288";"1.0063";"1.0523";"0.7648";"1.5002";"0.6201"
"248189_at";"3289";"1.1544";"1.0993";"0.9743";"0.4687";"0.0628"
"248190_at";"3290";"0.7775";"0.1602";"0.0108";"1.0692";"0.9985"
"248191_at";"3291";"0.7315";"0.1066";"0.0061";"1.0784";"0.9971"
"248192_at";"3292";"1.502";"1.0174";"0.9999";"0.0257";"0.0005"
"248193_at";"3293";"1.3955";"1.0186";"0.9999";"0.051";"0.0013"
"248194_at";"3294";"1.0059";"1.6618";"0.6309";"1.4962";"0.6889"
"248195_at";"3295";"1.1485";"1.0714";"0.9929";"0.4308";"0.0536"
"248196_at";"3296";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248197_at";"3297";"0.7171";"0.0813";"0.0043";"1.0551";"0.9995"
"248198_at";"3298";"0.9887";"1.3231";"0.3177";"1.0458";"0.808"
"248199_at";"3299";"1.0772";"1.0728";"0.8114";"0.7392";"0.1455"
"248200_at";"3300";"0.9416";"1.0436";"0.1981";"1.0572";"0.8443"
"248201_at";"3301";"1.0248";"1.6662";"0.6409";"1.2715";"0.4258"
"248202_at";"3302";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248203_at";"3303";"0.9929";"1.6253";"0.5401";"1.0429";"0.8223"
"248204_at";"3304";"0.6887";"0.0519";"0.0024";"1.0436";"0.9999"
"248205_at";"3305";"0.6005";"0.0308";"0.0012";"1.0724";"0.9981"
"248206_at";"3306";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248207_at";"3307";"1.2011";"1.1104";"0.9445";"0.4004";"0.0465"
"248208_at";"3308";"0.8069";"0.395";"0.0396";"1.1088";"0.9731"
"248209_at";"3309";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248210_at";"3310";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248211_at";"3311";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248212_at";"3312";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248213_at";"3313";"0.2601";"0.0001";"0";"1.0064";"1"
"248214_at";"3314";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248215_at";"3315";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248216_at";"3316";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248217_at";"3317";"0.9527";"1.2914";"0.3022";"1.0296";"0.7825"
"248218_at";"3318";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248219_at";"3319";"0.943";"1.1434";"0.2389";"1.056";"0.8424"
"248220_at";"3320";"1.0967";"1.108";"0.933";"0.7659";"0.1554"
"248221_at";"3321";"0.9308";"1.0549";"0.2032";"1.0857";"0.9014"
"248222_at";"3322";"1.0866";"1.0761";"0.8213";"0.7967";"0.169"
"248223_at";"3323";"0.9661";"1.288";"0.3008";"1.0426";"0.8212"
"248224_at";"3324";"1.023";"1.0393";"0.7019";"1.2874";"0.4358"
"248225_at";"3325";"1.0317";"1.0831";"0.8392";"1.294";"0.4407"
"248226_at";"3326";"0.9991";"1.6459";"0.5726";"1.0424";"0.8118"
"248227_at";"3327";"0.9986";"1.6459";"0.5723";"1.0424";"0.8117"
"248228_at";"3328";"0.7877";"0.1718";"0.012";"1.0652";"0.9989"
"248229_at";"3329";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248230_at";"3330";"0.1908";"0";"0";"1.0028";"1"
"248231_at";"3331";"1.0035";"1.6353";"0.5945";"1.2424";"0.4044"
"248232_at";"3332";"1.036";"1.6786";"0.6659";"1.1733";"0.3606"
"248233_at";"3333";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248234_at";"3334";"1.0581";"1.1013";"0.8945";"0.9932";"0.258"
"248235_at";"3335";"0.9777";"1.3464";"0.332";"1.5097";"0.643"
"248236_at";"3336";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248237_at";"3337";"0.6574";"0.0446";"0.002";"1.0475";"0.9998"
"248238_at";"3338";"0.6748";"0.043";"0.0019";"1.0416";"0.9999"
"248239_at";"3339";"0.98";"1.391";"0.3572";"1.0713";"0.8723"
"248240_at";"3340";"1.4671";"1.0329";"0.9993";"0.0377";"0.0008"
"248241_at";"3341";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248242_at";"3342";"1.1308";"1.0943";"0.8701";"0.4877";"0.0679"
"248243_at";"3343";"1.5169";"1.0226";"0.9998";"0.0248";"0.0004"
"248244_at";"3344";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248245_at";"3345";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248246_at";"3346";"0.5447";"0.0111";"0.0003";"1.0262";"1"
"248247_at";"3347";"0.8202";"0.2908";"0.0253";"1.0903";"0.9942"
"248248_at";"3348";"0.8351";"0.278";"0.0236";"1.0734";"0.9979"
"248249_at";"3349";"1.0283";"1.0519";"0.7626";"1.2533";"0.4119"
"248250_at";"3350";"1.0199";"1.0485";"0.7135";"1.289";"0.4367"
"248251_at";"3351";"1.0233";"1.052";"0.762";"1.2732";"0.4266"
"248252_at";"3352";"2.4384";"1.0031";"1";"0.0001";"0"
"248253_at";"3353";"0.9968";"1.6409";"0.5582";"1.042";"0.8161"
"248254_at";"3354";"0.9911";"0.8629";"0.14";"1.2604";"0.4164"
"248255_at";"3355";"1.0278";"1.0681";"0.7419";"1.2274";"0.3943"
"248256_at";"3356";"0.9975";"1.6615";"0.6278";"1.2396";"0.4013"
"248257_at";"3357";"1";"1.0682";"0.7446";"1.4826";"0.6663"
"248258_at";"3358";"0.9626";"1.2561";"0.2873";"1.0074";"0.7562"
"248259_at";"3359";"1.264";"1.093";"0.9803";"0.173";"0.0098"
"248260_at";"3360";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248261_at";"3361";"0.9934";"1.6167";"0.5313";"1.5237";"0.72"
"248262_at";"3362";"0.8897";"0.6478";"0.0857";"1.1074";"0.9565"
"248263_at";"3363";"0.5457";"0.0104";"0.0003";"1.0238";"1"
"248264_at";"3364";"1.1057";"1.1079";"0.9264";"0.698";"0.1299"
"248265_at";"3365";"0.9712";"1.3374";"0.3258";"1.0424";"0.8187"
"248266_at";"3366";"0.9762";"1.4875";"0.4153";"1.5223";"0.7181"
"248267_at";"3367";"0.8922";"0.5854";"0.0735";"1.1029";"0.986"
"248268_at";"3368";"1.001";"1.6878";"0.6806";"1.227";"0.3949"
"248269_at";"3369";"1.0903";"1.0775";"0.8237";"0.9079";"0.2168"
"248270_at";"3370";"0.6649";"0.0386";"0.0017";"1.0404";"0.9999"
"248271_at";"3371";"0.6109";"0.021";"0.0007";"1.0317";"1"
"248272_at";"3372";"0.9324";"0.9779";"0.1762";"1.0602";"0.8498"
"248273_at";"3373";"1.0521";"1.5499";"0.463";"1.2699";"0.4239"
"248274_at";"3374";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248275_at";"3375";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248276_at";"3376";"0.8284";"0.3062";"0.0273";"1.1022";"0.9866"
"248277_at";"3377";"0.6379";"0.0291";"0.0011";"1.0381";"0.9999"
"248278_at";"3378";"0.9399";"1.1657";"0.2485";"1.0731";"0.8758"
"248279_at";"3379";"1.3139";"1.0684";"0.9937";"0.1477";"0.0076"
"248280_at";"3380";"1.6258";"1.0134";"1";"0.0106";"0.0001"
"248281_at";"3381";"1.0155";"1.0661";"0.7386";"1.2432";"0.4043"
"248282_at";"3382";"1";"1.6709";"0.6516";"1.5284";"0.7264"
"248283_at";"3383";"0.9931";"1.6683";"0.6433";"1.4426";"0.5595"
"248284_at";"3384";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248285_at";"3385";"1.0199";"1.6439";"0.5644";"1.0002";"0.2616"
"248286_at";"3386";"1.1836";"1.0683";"0.9937";"0.3225";"0.0309"
"248287_at";"3387";"1.228";"1.049";"0.9975";"0.2057";"0.0133"
"248288_at";"3388";"1.0089";"1.6717";"0.6521";"1.3813";"0.5095"
"248289_at";"3389";"0.9719";"1.3857";"0.3541";"1.0477";"0.8291"
"248290_at";"3390";"0.9776";"1.5616";"0.4746";"1.0591";"0.8477"
"248291_at";"3391";"1.0217";"1.5557";"0.4701";"1.3775";"0.5057"
"248292_at";"3392";"0.9943";"1.4073";"0.3668";"1.0934";"0.9178"
"248293_at";"3393";"1.138";"1.0928";"0.9807";"0.4627";"0.061"
"248294_at";"3394";"1.1709";"1.1035";"0.9699";"0.3928";"0.045"
"248295_at";"3395";"1.2222";"1.1045";"0.9659";"0.3018";"0.0274"
"248296_at";"3396";"1.0047";"1.038";"0.7";"1.5073";"0.6506"
"248297_at";"3397";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248298_at";"3398";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248299_at";"3399";"1.0264";"1.0489";"0.7149";"1.3956";"0.5205"
"248300_at";"3400";"1.0404";"1.0484";"0.7133";"1.1821";"0.3654"
"248301_at";"3401";"0.7682";"0.1362";"0.0084";"1.0617";"0.9991"
"248302_at";"3402";"0.8855";"0.5791";"0.0724";"1.1089";"0.968"
"248303_at";"3403";"0.9892";"1.5248";"0.4421";"1.4443";"0.5638"
"248304_at";"3404";"1.1766";"1.1012";"0.9732";"0.3923";"0.0447"
"248305_at";"3405";"0.9406";"1.2177";"0.2707";"1.497";"0.6606"
"248306_at";"3406";"1.031";"1.6041";"0.5178";"0.9356";"0.2301"
"248307_at";"3407";"0.8735";"0.9113";"0.1556";"1.5238";"0.72"
"248308_at";"3408";"0.9595";"1.3259";"0.3192";"1.4505";"0.5702"
"248309_at";"3409";"1.0059";"1.3054";"0.309";"1.4189";"0.538"
"248310_at";"3410";"1.0602";"1.0519";"0.7599";"1.0708";"0.2985"
"248311_at";"3411";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248312_at";"3412";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248313_at";"3413";"1.0071";"1.5421";"0.4564";"1.2738";"0.427"
"248314_at";"3414";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248315_at";"3415";"1.4115";"1.0607";"0.9955";"0.0722";"0.0022"
"248316_at";"3416";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248317_at";"3417";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248318_at";"3418";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248319_at";"3419";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248320_at";"3420";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248321_at";"3421";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"248322_at";"3422";"0.9945";"1.6312";"0.5483";"1.0428";"0.8198"
