"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"258584_at";"13684";"1.1151";"1.0935";"0.8668";"0.4992";"0.0703"
"258585_at";"13685";"0.9645";"1.1749";"0.2522";"1.5428";"0.7443"
"258586_s_at";"13686";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258587_at";"13687";"1.1081";"1.0441";"0.7078";"0.419";"0.0508"
"258588_s_at";"13688";"1.0109";"1.6765";"0.66";"1.3701";"0.4982"
"258589_at";"13689";"0.9455";"1.0321";"0.194";"1.1068";"0.9527"
"258590_at";"13690";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258591_at";"13691";"0.985";"1.3417";"0.3287";"1.0918";"0.9126"
"258592_at";"13692";"1.0237";"1.6677";"0.6422";"1.3687";"0.4975"
"258593_at";"13693";"1.02";"1.1079";"0.9284";"1.1439";"0.3405"
"258594_at";"13694";"0.9894";"1.5818";"0.4963";"1.0451";"0.8084"
"258595_at";"13695";"0.9454";"1.1389";"0.2369";"1.0425";"0.8217"
"258596_at";"13696";"3.4918";"1.0019";"1";"0";"0"
"258597_x_at";"13697";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258598_at";"13698";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258599_at";"13699";"0.9454";"1.0898";"0.2168";"1.0676";"0.8636"
"258600_at";"13700";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258601_at";"13701";"0.8235";"0.2431";"0.0195";"1.0716";"0.9982"
"258602_at";"13702";"1.0345";"1.6417";"0.6038";"1.1256";"0.3301"
"258603_at";"13703";"1.2896";"1.045";"0.9981";"0.1433";"0.0071"
"258604_at";"13704";"1.2448";"1.0625";"0.9952";"0.213";"0.0143"
"258605_at";"13705";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258606_at";"13706";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258607_at";"13707";"1.028";"1.6709";"0.6506";"1.121";"0.3271"
"258608_at";"13708";"1.1237";"1.1044";"0.9654";"0.5557";"0.0847"
"258609_at";"13709";"0.6316";"0.0307";"0.0012";"1.0402";"0.9999"
"258610_at";"13710";"1.394";"1.028";"0.9996";"0.0484";"0.0012"
"258611_at";"13711";"1.0675";"1.0519";"0.7637";"0.9561";"0.2391"
"258612_at";"13712";"0.9459";"1.1973";"0.2624";"1.5004";"0.6936"
"258613_at";"13713";"0.99";"1.5537";"0.4682";"1.3395";"0.4757"
"258614_at";"13714";"0.8824";"0.5595";"0.0687";"1.1076";"0.9548"
"258615_at";"13715";"1.0748";"1.6793";"0.6688";"0.7508";"0.1497"
